#
#   VizieR Astronomical Server webviz.u-strasbg.fr
#    Date: 2017-10-23T21:20:54 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VOTx36584	
#INFO	-out.max=unlimited	
#INFO	queryParameters=6	
#-oc.form=D.
#-source=USNO-B1
#-c.ra=314.975125
#-c.dec=7.280722
#-c.bm=22.0000000/22.0000000
#-out.max=unlimited
#
#INFO	-c=314.975125+07.280722,bm=22.000000/22.	
#

#RESOURCE=yCat_1284
#Name: I/284
#Title: The USNO-B1.0 Catalog (Monet+ 2003)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	I_284_out:
#Name: I/284/out
#Title: The Whole-Sky USNO-B1.0 Catalog of 1,045,913,669 sources
#Column	USNO-B1.0	(a12)	Designation of the object (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	Right Ascension at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	Declination at Eq=J2000, Ep=J2000 (2)	[ucd=pos.eq.dec;meta.main]
#Column	e_RAJ2000	(I3)	Mean error on RAdeg*cos(DEdeg) at Epoch	[ucd=stat.error;pos.eq.ra]
#Column	e_DEJ2000	(I3)	Mean error on DEdeg at Epoch	[ucd=stat.error;pos.eq.dec]
#Column	Epoch	(F6.1)	Mean epoch of observation (2)	[ucd=time.epoch;obs]
#Column	pmRA	(I6)	Proper motion in RA (relative to YS4.0)	[ucd=pos.pm;pos.eq.ra]
#Column	pmDE	(I6)	Proper motion in DE (relative to YS4.0)	[ucd=pos.pm;pos.eq.dec]
#Column	Ndet	(I1)	[0,5] Number of detections (7)	[ucd=meta.number]
#Column	B1mag	(F5.2)	? First blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R1mag	(F5.2)	? First red magnitude	[ucd=phot.mag;em.opt.R]
#Column	B2mag	(F5.2)	? Second blue magnitude	[ucd=phot.mag;em.opt.B]
#Column	R2mag	(F5.2)	? Second red magnitude	[ucd=phot.mag;em.opt.R]
#Column	Imag	(F5.2)	? Infrared (N) magnitude	[ucd=phot.mag;em.opt.I]
USNO-B1.0	RAJ2000	DEJ2000	e_RAJ2000	e_DEJ2000	Epoch	pmRA	pmDE	Ndet	B1mag	R1mag	B2mag	R2mag	Imag
0972-0684977	314.803209	+07.253578	999	791	1978.7	  -390	  -142	3	     	19.62	     	20.38	18.88
0972-0684978	314.803520	+07.206103	  2	  8	1978.3	  -258	    10	3	20.47	     	21.44	19.98	
0972-0684979	314.804717	+07.218050	114	106	1976.0	     0	     0	5	20.73	19.92	20.23	19.97	19.18
0972-0684980	314.806020	+07.242545	 83	216	1976.0	     0	     0	5	20.73	19.83	20.65	19.58	19.11
0972-0684981	314.808481	+07.293553	 72	 41	1976.0	     0	     0	5	18.66	17.81	17.81	17.40	17.49
0972-0684982	314.808606	+07.289678	 62	 61	1976.0	     0	     0	5	19.89	17.88	18.61	17.54	17.16
0972-0684983	314.809198	+07.285462	103	183	1981.6	     0	     0	4	     	19.86	20.90	19.58	19.06
0972-0684984	314.809217	+07.255378	182	 80	1976.0	    -4	   -10	5	19.83	17.94	18.63	17.34	16.93
0972-0684985	314.809895	+07.257373	 72	221	1976.0	   -20	   -18	5	20.35	19.76	19.78	19.10	18.95
0972-0684986	314.812095	+07.279464	 27	 46	1976.0	     0	     0	5	18.48	17.50	17.61	16.85	16.60
0972-0684987	314.812189	+07.288028	 76	 63	1976.0	     0	     0	5	20.07	18.59	19.39	17.98	17.89
0972-0684988	314.812695	+07.243300	999	680	1981.6	   408	  -172	4	     	19.60	20.80	19.51	18.77
0972-0684989	314.812762	+07.297337	247	 98	1977.3	    -6	   -12	3	20.56	     	20.55	20.10	
0972-0684990	314.812875	+07.283934	 38	 52	1976.0	     0	     0	5	19.19	17.59	18.26	17.16	17.00
0972-0684991	314.812903	+07.208703	 78	 56	1976.0	     0	     0	5	16.18	14.77	15.44	14.59	13.81
0972-0684992	314.813162	+07.274712	 52	 47	1971.4	     0	     0	4	20.56	19.81	20.07	19.61	
0972-0684993	314.814417	+07.203153	999	999	1974.2	     0	     0	2	20.22	     	     	     	19.13
0972-0684994	314.814648	+07.256931	999	999	1978.7	   104	  -262	3	20.68	     	     	20.78	18.67
0972-0684995	314.815262	+07.226162	206	100	1979.3	     0	    24	3	     	20.03	21.07	20.01	
0972-0684996	314.816100	+07.295298	 88	121	1976.0	   -16	    -2	5	18.12	16.70	16.97	16.40	15.77
0972-0684997	314.816337	+07.203225	109	105	1976.0	     0	     0	5	19.84	19.06	18.62	18.59	17.59
0972-0684998	314.816762	+07.285164	156	 55	1976.0	     0	     0	5	20.40	19.70	19.94	19.24	19.11
0972-0684999	314.817378	+07.233656	126	 35	1976.0	     0	     0	5	20.43	19.23	20.58	18.89	18.26
0972-0685000	314.817420	+07.298398	 99	100	1981.6	     0	     0	4	     	18.89	20.82	18.75	16.97
0972-0685001	314.818948	+07.285039	947	  3	1991.9	    88	    52	3	     	     	21.10	20.44	18.62
0972-0685002	314.819300	+07.216117	118	 88	1976.0	     0	     0	5	19.94	18.65	19.40	18.03	17.82
0972-0685003	314.819362	+07.243362	145	184	1981.6	     0	     0	4	     	20.04	21.57	19.95	19.14
0972-0685004	314.820123	+07.273900	 40	 37	1976.0	     0	     0	5	19.96	18.42	18.66	17.44	17.66
0972-0685005	314.820570	+07.225325	 75	 41	1976.0	     0	     0	5	19.78	18.38	18.58	17.71	17.82
0972-0685006	314.820639	+07.286470	123	240	1992.6	     0	     0	2	     	     	     	20.09	19.00
0972-0685007	314.820675	+07.266950	109	 96	1976.0	     0	     0	5	17.35	15.22	15.50	14.39	13.77
0972-0685008	314.821645	+07.211037	134	144	1981.6	     0	     0	4	20.57	     	21.06	20.29	19.14
0972-0685009	314.822084	+07.266275	620	416	1973.9	     0	     0	4	20.52	18.12	18.35	     	17.04
0972-0685010	314.822720	+07.251889	124	 69	1976.0	     0	     0	5	19.67	17.29	18.25	16.75	16.52
0972-0685011	314.824217	+07.200817	585	 53	1981.6	    14	    10	4	20.57	     	20.59	19.63	19.12
0972-0685012	314.825189	+07.205128	 55	 53	1976.0	     0	     0	5	20.00	19.11	18.79	18.50	18.38
0972-0685013	314.827023	+07.241623	  0	  0	2000.0	    -6	     2	0	13.35	10.75	12.34	10.68	 9.86
0972-0685014	314.827950	+07.261617	121	 42	1976.0	     0	     4	5	16.76	15.41	15.91	15.18	14.73
0972-0685015	314.828775	+07.282342	213	375	1976.0	     0	     0	5	14.50	12.28	13.49	12.57	11.78
0972-0685016	314.829184	+07.269078	647	 17	1990.9	   -16	    46	3	     	     	21.54	20.39	19.24
0972-0685017	314.829509	+07.283900	999	999	1972.1	     0	     0	2	     	18.47	16.37	     	
0972-0685018	314.829795	+07.228020	323	 96	1976.0	     0	     0	5	20.73	19.72	21.25	19.70	18.42
0972-0685019	314.830242	+07.230853	 91	135	1981.6	     0	     0	4	     	19.72	20.39	18.57	18.32
0972-0685020	314.830553	+07.205756	 93	478	1978.3	     0	     0	3	     	19.50	21.06	19.34	
0972-0685021	314.830614	+07.283828	169	231	1976.0	     0	     0	5	18.51	16.16	17.07	16.07	16.61
0972-0685022	314.830978	+07.205967	481	394	1989.0	     0	     0	2	     	     	20.68	17.87	
0972-0685023	314.831720	+07.279067	 92	 83	1971.4	     0	     0	4	20.38	19.79	20.16	19.70	
0972-0685024	314.831853	+07.206523	 96	 37	1976.0	     0	     0	5	18.55	16.63	17.55	16.22	15.91
0972-0685025	314.836545	+07.220187	 91	 88	1976.0	     0	     0	5	20.54	19.54	20.39	19.10	18.78
0972-0685026	314.836823	+07.288612	122	 80	1976.0	   -24	    -8	5	19.89	17.23	18.55	16.72	16.11
0972-0685027	314.837062	+07.202353	 96	102	1976.0	    10	    -8	5	20.30	19.57	19.77	19.53	18.79
0972-0685028	314.837437	+07.213517	669	935	1970.7	     0	     0	2	     	20.03	     	20.96	
0972-0685029	314.837620	+07.256445	 33	 25	1976.0	     0	     0	5	16.71	15.49	15.95	15.15	14.64
0972-0685030	314.838709	+07.248420	124	 63	1976.0	     0	     0	5	18.58	17.47	17.65	17.17	16.96
0972-0685031	314.838917	+07.269889	411	134	1978.3	     0	     0	3	     	20.02	21.09	20.70	
0972-0685032	314.839617	+07.216781	218	106	1978.3	    24	    18	3	     	20.04	20.86	20.40	
0972-0685033	314.840445	+07.225075	 39	 86	1976.0	     4	    -4	5	17.90	16.51	16.94	16.13	16.16
0972-0685034	314.841237	+07.265442	 88	100	1976.0	     0	     0	5	19.97	18.89	19.17	18.47	18.62
0972-0685035	314.841556	+07.250584	107	 48	1976.0	     0	     0	5	20.32	19.42	20.31	19.37	18.92
0972-0685036	314.841723	+07.240937	121	134	1981.6	     0	     0	4	     	19.64	21.23	19.13	18.85
0972-0685037	314.841962	+07.215978	227	 53	1982.4	     0	     0	4	     	19.57	21.00	19.91	18.72
0972-0685038	314.842189	+07.286495	212	110	1976.0	     0	     0	5	20.22	19.12	19.58	19.03	18.57
0972-0685039	314.843639	+07.218700	 57	 36	1976.0	     2	    -6	5	18.59	17.34	17.66	16.78	16.62
0972-0685040	314.844714	+07.252309	120	102	1976.0	     0	     0	5	20.37	19.29	20.14	18.96	18.76
0972-0685041	314.845123	+07.215934	731	253	1977.3	  -216	  -166	3	     	19.93	21.18	20.95	
0972-0685042	314.846159	+07.224723	110	 63	1976.0	     0	     0	5	20.71	19.57	20.97	19.70	18.88
0972-0685043	314.846509	+07.243509	 99	 49	1990.6	     0	     0	2	     	     	20.69	20.74	
0972-0685044	314.847239	+07.234739	157	 60	1981.6	    -8	   -18	4	     	19.36	20.92	19.42	18.44
0972-0685045	314.847564	+07.258417	763	999	1972.2	     0	     0	2	     	20.05	     	20.08	
0972-0685046	314.847806	+07.296795	132	 45	1981.6	     0	     0	4	     	18.98	20.40	19.03	18.49
0972-0685047	314.848012	+07.251914	999	999	1953.7	     0	     0	2	20.39	20.05	     	     	
0972-0685048	314.848200	+07.219395	 91	 86	1976.0	     0	     0	5	20.25	17.65	19.32	17.28	16.00
0972-0685049	314.848281	+07.260564	172	141	1981.6	     0	     0	4	     	19.78	21.65	19.79	18.68
0972-0685050	314.849131	+07.264159	 64	 65	1976.0	     0	     0	5	18.43	16.83	17.37	16.38	16.08
0972-0685051	314.849181	+07.280189	123	999	1953.7	     0	     0	2	20.53	19.99	     	     	
0972-0685052	314.850245	+07.253684	144	168	1976.0	    14	    18	5	20.37	18.91	19.92	17.97	17.74
0972-0685053	314.850717	+07.277114	 87	 41	1976.0	     0	     0	5	18.29	16.16	17.39	16.13	15.55
0972-0685054	314.850817	+07.226987	167	 75	1981.6	    12	    14	4	     	19.50	20.92	19.41	18.61
0972-0685055	314.851389	+07.219717	 63	 45	1976.0	     0	     0	5	18.74	17.21	17.68	16.71	16.53
0972-0685056	314.851453	+07.221895	124	187	1982.4	     0	     0	4	     	19.95	21.09	19.93	19.22
0972-0685057	314.851600	+07.246342	138	107	1971.4	     0	     0	4	20.65	19.92	20.42	19.89	
0972-0685058	314.851837	+07.203106	112	999	1978.3	   160	  -716	3	     	20.03	20.97	20.29	
0972-0685059	314.852017	+07.288492	163	105	1990.5	     0	     0	2	     	     	21.44	20.10	
0972-0685060	314.853242	+07.209467	 44	 45	1991.1	     0	     0	2	     	     	     	20.57	19.13
0972-0685061	314.853703	+07.260528	 24	 33	1976.0	     0	     0	5	19.70	18.61	18.52	17.66	18.08
0972-0685062	314.854031	+07.223884	137	134	1976.0	     0	     0	5	20.72	19.66	20.62	19.89	19.20
0972-0685063	314.854064	+07.258739	 44	213	1978.7	     0	     0	3	     	20.02	     	20.45	19.05
0972-0685064	314.854659	+07.268778	 82	 57	1981.6	     0	     0	4	     	19.83	21.75	20.30	18.87
0972-0685065	314.855645	+07.226342	 56	 77	1976.0	     0	     0	5	20.11	18.95	19.69	18.31	18.55
0972-0685066	314.855945	+07.258725	 18	 77	1977.3	    16	     2	3	     	19.85	21.55	20.31	
0972-0685067	314.855962	+07.260850	257	145	1991.1	     0	     0	2	     	     	     	20.82	18.94
0972-0685068	314.856212	+07.276064	 69	109	1970.7	     0	     0	2	     	20.05	     	20.46	
0972-0685069	314.856609	+07.275912	999	370	1974.2	     0	     0	2	20.72	     	     	     	19.09
0972-0685070	314.856945	+07.211106	 87	 46	1976.0	     0	     0	5	18.05	16.89	17.36	16.35	16.10
0972-0685071	314.856967	+07.248309	999	 33	1977.3	  -710	    88	3	20.69	     	21.38	20.28	
0972-0685072	314.857339	+07.254128	 80	 71	1976.0	     0	     0	5	17.14	15.79	16.12	15.38	15.09
0972-0685073	314.857439	+07.228734	 80	 72	1976.0	     0	     0	5	18.49	17.48	17.53	17.00	16.66
0972-0685074	314.858534	+07.268895	 83	133	1976.0	     0	     0	5	20.35	20.05	20.41	19.74	19.15
0972-0685075	314.858759	+07.279275	104	604	1990.9	     0	     0	3	     	     	21.35	20.05	19.04
0972-0685076	314.858867	+07.292942	357	275	1991.1	     0	     0	2	     	     	     	20.36	19.20
0972-0685077	314.858939	+07.279198	120	 62	1979.3	   -20	   -52	3	     	19.37	20.83	19.53	
0972-0685078	314.859189	+07.279848	 90	251	1976.0	     0	     0	5	19.83	19.51	19.50	18.56	18.33
0972-0685079	314.859220	+07.271564	999	718	1978.7	   408	   144	3	20.72	     	     	20.81	19.03
0972-0685080	314.859228	+07.278939	999	789	1992.0	     0	     0	2	     	     	21.04	20.10	
0972-0685081	314.859775	+07.263273	121	172	1976.0	     0	     0	5	19.97	19.57	19.29	19.09	19.18
0972-0685082	314.859909	+07.218834	101	 63	1976.0	     0	     0	5	19.87	18.12	18.68	17.54	17.66
0972-0685083	314.859912	+07.273223	361	134	1976.0	    18	    12	5	20.43	18.12	19.74	17.53	16.67
0972-0685084	314.860337	+07.280275	231	 45	1977.3	   -44	    -2	3	     	20.01	20.89	19.74	
0972-0685085	314.861114	+07.219748	788	230	1973.6	     0	     0	2	     	20.04	21.01	     	
0972-0685086	314.861128	+07.294700	165	 51	1976.0	    -4	    -6	5	15.43	13.32	14.55	13.51	12.57
0972-0685087	314.861523	+07.296345	999	 10	1974.2	     0	     0	2	     	18.65	     	     	19.07
0972-0685088	314.861631	+07.291570	 91	207	1976.0	     0	     0	5	19.06	17.94	18.02	17.12	17.46
0972-0685089	314.862462	+07.225289	122	106	1976.0	   -36	   -36	5	18.38	17.39	17.66	17.02	16.47
0972-0685090	314.864495	+07.240814	322	305	1991.1	     0	     0	2	     	     	     	20.72	19.13
0972-0685091	314.864670	+07.256062	999	999	1972.1	     0	     0	2	     	19.61	20.88	     	
0972-0685092	314.865184	+07.256187	115	101	1976.0	     0	     0	5	20.35	18.78	19.80	19.00	18.80
0972-0685093	314.865692	+07.259959	122	 80	1976.0	     0	     0	5	19.87	18.59	18.99	18.36	18.54
0972-0685094	314.865762	+07.250253	184	 27	1981.6	   -12	   -22	4	     	19.84	21.50	20.00	18.53
0972-0685095	314.865825	+07.296992	 90	130	1981.6	     6	    34	4	     	19.76	20.89	19.20	19.01
0972-0685096	314.867514	+07.247250	 72	211	1976.0	   -12	   -14	5	19.13	16.42	17.75	15.90	15.42
0972-0685097	314.867814	+07.258070	 83	 61	1976.0	     0	     0	5	17.88	16.29	16.90	16.18	15.38
0972-0685098	314.868353	+07.245617	109	 62	1976.0	     0	     0	5	18.71	17.49	17.78	16.88	17.28
0972-0685099	314.868400	+07.287470	 79	 54	1976.0	     0	     0	5	18.85	16.73	17.63	16.62	16.16
0972-0685100	314.869595	+07.256031	659	580	1972.2	     0	     0	2	     	19.81	     	20.00	
0972-0685101	314.869948	+07.212150	 25	 63	1976.0	     0	     0	5	18.78	17.88	18.13	17.41	17.42
0972-0685102	314.870203	+07.202173	999	159	1978.7	  -204	    62	3	     	19.01	     	20.66	19.22
0972-0685103	314.870778	+07.290914	999	999	1978.7	  -450	  -150	3	     	20.02	     	20.54	19.18
0972-0685104	314.871578	+07.269884	 62	 77	1976.0	     0	     0	5	19.55	18.01	18.50	17.34	17.57
0972-0685105	314.871598	+07.242100	 41	 51	1976.0	     4	    -2	5	18.85	17.71	17.72	17.00	17.55
0972-0685106	314.872114	+07.278837	910	117	1982.4	   -16	   -34	4	     	19.75	20.95	20.35	19.21
0972-0685107	314.872334	+07.237939	186	 61	1978.3	    -6	   -20	3	     	20.00	21.10	20.47	
0972-0685108	314.872775	+07.201398	 92	465	1982.3	     0	     0	4	     	18.54	19.10	18.97	18.35
0972-0685109	314.872792	+07.201825	 73	183	1976.0	     0	     0	5	19.73	17.99	18.22	17.45	17.55
0972-0685110	314.873348	+07.227209	223	199	1977.3	     0	     0	3	     	20.05	21.51	20.10	
0972-0685111	314.873639	+07.285464	 31	107	1976.0	     0	     0	5	20.20	18.06	18.87	17.51	17.53
0972-0685112	314.873898	+07.216056	114	 96	1982.4	     0	     0	4	     	19.88	21.00	19.68	18.76
0972-0685113	314.874659	+07.247848	550	240	1970.7	     0	     0	2	     	20.02	     	20.52	
0972-0685114	314.876303	+07.259770	 48	107	1976.0	     0	     0	5	14.54	11.96	12.99	11.96	10.83
0972-0685115	314.876820	+07.210403	999	999	1973.6	     0	     0	2	     	19.97	21.10	     	
0972-0685116	314.876906	+07.258720	999	999	1966.9	   136	  -228	3	20.48	19.62	17.12	     	
0972-0685117	314.877450	+07.274120	189	 93	1976.0	     0	     0	5	20.72	19.91	20.16	18.93	18.58
0972-0685118	314.878059	+07.290973	 64	 60	1976.0	     0	     0	5	19.98	18.62	18.76	18.02	18.14
0972-0685119	314.878175	+07.246131	130	 84	1976.0	     0	     0	5	20.01	19.12	19.44	18.84	18.56
0972-0685120	314.878539	+07.258937	148	194	1980.6	    44	    18	3	20.16	     	19.68	     	18.88
0972-0685121	314.879075	+07.201548	155	118	1981.6	     0	   -20	4	     	19.70	20.76	19.79	19.08
0972-0685122	314.879164	+07.226564	 99	 60	1991.1	     0	     0	2	     	     	     	20.40	19.13
0972-0685123	314.879309	+07.236939	123	 37	1976.0	     6	    -6	5	18.67	16.23	17.45	16.06	15.30
0972-0685124	314.879867	+07.247389	106	 20	1976.0	     0	     0	5	19.60	17.79	18.24	17.29	17.29
0972-0685125	314.879967	+07.216420	196	 58	1976.0	     0	     0	5	20.24	19.10	19.67	18.56	18.75
0972-0685126	314.880631	+07.286723	 74	 68	1976.0	     0	     0	5	17.45	15.83	16.49	15.45	15.05
0972-0685127	314.881834	+07.278448	 12	265	1978.3	    10	   -22	3	20.60	     	20.72	19.95	
0972-0685128	314.882939	+07.253053	298	100	1981.6	     0	   -16	4	20.50	     	20.29	19.84	19.10
0972-0685129	314.883414	+07.291639	 73	 63	1976.6	     0	     0	5	20.56	18.46	19.98	17.91	17.47
0972-0685130	314.883759	+07.291678	999	274	1991.9	     0	     0	3	     	     	19.92	19.97	18.40
0972-0685131	314.883917	+07.288400	 66	 99	1976.0	     0	     0	5	20.72	19.77	21.27	19.89	19.12
0972-0685132	314.885125	+07.236481	 70	 58	1981.6	     6	    -8	4	     	19.00	20.33	18.33	17.79
0972-0685133	314.885562	+07.259856	181	 66	1976.0	     0	     0	5	15.95	13.78	14.70	14.02	13.37
0972-0685134	314.885603	+07.294059	201	225	1976.0	     0	     0	5	18.45	16.36	17.33	16.15	15.57
0972-0685135	314.886025	+07.225945	145	182	1981.6	   -44	    30	4	     	19.83	20.59	19.95	19.09
0972-0685136	314.886109	+07.226217	275	543	1991.9	     0	     0	3	     	     	20.87	19.79	19.22
0972-0685137	314.886334	+07.260167	569	390	1981.6	     0	     0	4	19.50	     	16.70	13.32	14.81
0972-0685138	314.886409	+07.210106	163	186	1982.4	     0	     0	4	20.72	     	20.44	19.89	19.12
0972-0685139	314.887595	+07.280317	 89	 50	1976.0	     0	     0	5	18.18	16.61	17.08	16.35	16.29
0972-0685140	314.887706	+07.296681	 40	660	1992.9	   -24	  -166	3	     	     	20.65	20.04	19.22
0972-0685141	314.887800	+07.265262	 43	 39	1976.0	     0	     0	5	19.25	18.28	18.40	17.81	17.90
0972-0685142	314.888317	+07.209820	 77	103	1976.0	     0	     0	5	20.26	18.31	18.87	17.54	17.35
0972-0685143	314.888550	+07.257328	389	518	1983.1	     0	     0	4	     	18.74	19.08	17.60	16.00
0972-0685144	314.888953	+07.259059	211	 83	1976.0	     8	    10	5	14.79	13.17	13.79	13.07	12.48
0972-0685145	314.889031	+07.245450	 76	 30	1976.0	    -4	    -6	5	18.91	17.54	17.86	17.32	17.37
0972-0685146	314.889281	+07.278175	 74	229	1990.6	     0	     0	2	     	     	20.90	20.88	
0972-0685147	314.890112	+07.245248	999	630	1981.6	  -424	   200	4	20.73	     	20.93	20.29	19.14
0972-0685148	314.890437	+07.257817	999	256	1977.3	   320	    18	3	20.71	     	20.79	16.67	
0972-0685149	314.890517	+07.299073	265	117	1977.3	   -28	   -26	3	20.62	     	21.20	20.24	
0972-0685150	314.892434	+07.226748	 94	105	1976.0	     0	     0	5	16.85	14.94	15.86	14.81	14.31
0972-0685151	314.892795	+07.204645	130	122	1981.6	     0	     0	4	     	19.70	20.83	19.07	18.38
0972-0685152	314.892837	+07.231284	 99	225	1991.1	     0	     0	2	     	     	     	20.09	18.65
0972-0685153	314.892950	+07.207445	999	 44	1992.5	     0	     0	2	     	     	19.95	     	19.06
0972-0685154	314.892992	+07.213814	 53	 19	1976.0	    -4	     2	5	17.42	16.29	16.52	15.81	15.73
0972-0685155	314.895323	+07.220475	164	107	1976.0	    -2	   -26	5	20.37	18.61	19.49	18.03	17.60
0972-0685156	314.896314	+07.258473	999	130	1978.7	   456	   -22	3	20.25	     	     	20.96	19.15
0972-0685157	314.896684	+07.273689	 42	 70	1976.0	     0	     0	5	19.91	19.15	18.86	18.36	18.61
0972-0685158	314.897023	+07.257306	 75	 40	1976.0	     0	     0	5	18.17	16.51	16.97	15.76	15.57
0972-0685159	314.897025	+07.268039	 91	 85	1976.0	     0	     0	5	15.75	14.50	15.10	14.26	13.81
0972-0685160	314.897189	+07.203012	100	173	1976.0	     0	     0	5	17.60	17.00	16.75	16.29	16.81
0972-0685161	314.897309	+07.296239	147	126	1976.0	    46	     0	5	20.20	17.49	19.20	17.06	16.36
0972-0685162	314.897573	+07.201787	 79	180	1976.6	     0	     0	5	18.91	18.48	18.20	17.20	17.96
